time,u,y_lineal,ydot_lineal,i_lineal,y,ydot,i,e
0.47705248,1.0181562,-0.00473828,0.0070335788,0.52675249,-0.004740476,0.0052451707,0.51108168,-2.1960356e-06
0.48368177,1.0193255,-0.0047030926,0.0071581714,0.52655987,-0.0047052733,0.0053730706,0.51090016,-2.1806438e-06
0.48971342,1.0206258,-0.0046703805,0.0072593037,0.52638567,-0.0046725448,0.0054777249,0.51073778,-2.1642359e-06
0.49459621,1.0187558,-0.0046434245,0.0073402676,0.52627549,-0.0046456086,0.0055544694,0.5106135,-2.1840498e-06
0.49913204,1.0175431,-0.0046180677,0.007408267,0.52616993,-0.0046202644,0.0056197856,0.51049898,-2.1966673e-06
0.50442214,1.017319,-0.0045881508,0.0074777926,0.52603753,-0.0045903489,0.0056890172,0.51036565,-2.1981072e-06
0.51083685,1.0179046,-0.0045514215,0.0075504489,0.525872,-0.0045536119,0.0057633421,0.51020577,-2.1903706e-06
0.51736566,1.0199014,-0.0045135992,0.0076108203,0.52569364,-0.0045157661,0.0058287451,0.51004434,-2.1668897e-06
0.52276371,1.0194313,-0.0044820032,0.0076583046,0.5255697,-0.0044841747,0.0058752578,0.50991721,-2.1714962e-06
0.52729271,1.0175291,-0.0044552949,0.0076967631,0.52548238,-0.0044574873,0.0059092557,0.50981502,-2.1924249e-06
0.53207886,1.0169644,-0.0044269297,0.0077293419,0.52537798,-0.004429128,0.0059405852,0.5097065,-2.1983216e-06
0.53798327,1.0171342,-0.0043917577,0.0077612036,0.52524347,-0.0043939536,0.005972973,0.50957385,-2.1959175e-06
0.54470032,1.0186035,-0.0043515529,0.007786466,0.52508165,-0.0043537318,0.0060018839,0.50942437,-2.178902e-06
0.54951962,1.0174225,-0.0043225759,0.0078049065,0.52498969,-0.0043247678,0.0060175499,0.50932319,-2.1919344e-06
0.55433892,1.0168737,-0.0042935398,0.0078179592,0.52489349,-0.0042957376,0.0060293407,0.50922286,-2.1978847e-06
0.56019201,1.0170462,-0.0042582218,0.007826869,0.52477106,-0.0042604175,0.0060387279,0.50910213,-2.1957007e-06
0.56681976,1.0183895,-0.0042181962,0.0078280737,0.52462457,-0.0042203765,0.0060432249,0.5089668,-2.1803438e-06
0.57285079,1.0198267,-0.004181768,0.0078233319,0.52449219,-0.004183932,0.006041988,0.50884629,-2.163985e-06
0.57773442,1.0180614,-0.0041522521,0.0078228942,0.52441561,-0.0041544358,0.0060373336,0.50875568,-2.1837622e-06
0.58227141,1.0169338,-0.0041248631,0.0078186517,0.52434109,-0.0041270594,0.0060304044,0.50867226,-2.1963737e-06
0.58756186,1.0167965,-0.004092986,0.0078079171,0.52424466,-0.0040951839,0.0060193688,0.50857494,-2.1978217e-06
0.59397563,1.0174719,-0.0040544408,0.0077888428,0.52412229,-0.0040566309,0.0060019539,0.50845826,-2.1900995e-06
